CPU,RAM(GB),GPU,vRAM(GB),Package,Target,Width (n),Depth,Shots,Probability n x |0>,Probability n x |1>,Time (s)
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.501,0.499,0.047196149826049805
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.499,0.501,0.0029234886169433594
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.493,0.507,0.007391214370727539
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.509,0.491,0.009753704071044922
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.486,0.514,0.006506204605102539
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.54,0.46,0.009839534759521484
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.531,0.469,0.00941324234008789
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.501,0.499,0.006841182708740234
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.488,0.512,0.006546497344970703
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,1000,0.515,0.485,0.007533550262451172
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.4981,0.5019,0.01297616958618164
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.5056,0.4944,0.014329195022583008
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.4971,0.5029,0.0127716064453125
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.4962,0.5038,0.012289762496948242
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.5037,0.4963,0.012434005737304688
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.4969,0.5031,0.013808965682983398
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.5007,0.4993,0.012785196304321289
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.5062,0.4938,0.011902332305908203
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Aer,2,2,10000,0.5001,0.4999,0.012378931045532227
