CPU,RAM(GB),GPU,vRAM(GB),Package,Target,Width (n),Depth,Shots,Probability n x |0>,Probability n x |1>,Time (s)
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.502,0.498,0.002330303192138672
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.465,0.535,0.0018849372863769531
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.513,0.487,0.00223541259765625
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.529,0.471,0.0018973350524902344
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.507,0.493,0.0017232894897460938
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.489,0.511,0.0017004013061523438
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.453,0.547,0.0020051002502441406
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.486,0.514,0.0016970634460449219
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.528,0.472,0.0016338825225830078
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,1000,0.494,0.506,0.0017881393432617188
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,10000,0.5009,0.4991,0.010547161102294922
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,10000,0.4969,0.5031,0.00987863540649414
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,10000,0.4984,0.5016,0.009888648986816406
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,Qiskit,Svs,2,2,10000,0.4961,0.5039,0.00979161262512207
