timestamp,molecule,r,basis,run_id,parameters,qubits,gates,shots,sigma,ry_theta_errors,single_qubit_gates,two_qubit_gates,multi_qubit_gates,e_qsci_rbm,e_hf,e_mp2,e_ccsd,e_fci,delta_hf,delta_mp2,delta_ccsd,delta_fci,sampling_dim,post_cr_dim,sub_space_dim,sym_space_dim,hil_space_dim,postcr_sym_ratio,sub_sym_ratio,sym_hil_ratio,cr_iter,cr_batches,cr_samples_per_batch,cr_max_davidson_cycles,pre_time,benchmarking_time,qc_prep_time,sampling_time,cr_time,post_time,total_time,hostname,resource_estimation,counts_dict,final_iteration,Absolute_Error_Ha
,N2_r01,0.8,,1,,,,,0.0,,,,,-108.55020089074827,-108.40735863447999,-108.6457357425089,-108.54755407638906,-108.55033828059183,0.14284225626828118,0.09553485176063248,0.0026468143592097704,0.00013738984355882167,,1089,2402500,19079424,,,0.12592099216412403,,,,,,,,,,,,,,,,50,0.00013738984355882167
,N2_r02,0.84885,,2,,,,,0.0,,,,,-108.77985128444323,-108.62860632063834,-108.87715353252548,-108.77678730444198,-108.7800029295828,0.15124496380488495,0.09730224808225785,0.003063980001243749,0.00015164513958154657,,1369,2383936,19079424,,,0.12494800681613868,,,,,,,,,,,,,,,,50,0.00015164513958154657
,N2_r03,0.8976999999999999,,3,,,,,0.0,,,,,-108.93787678333035,-108.7772568221096,-109.03644945682956,-108.93428686840703,-108.93802424438162,0.16061996122074618,0.09857267349920562,0.0035899149233245,0.00014746105127017017,,1156,2650384,19079424,,,0.13891320828134016,,,,,,,,,,,,,,,,50,0.00014746105127017017
,N2_r04,0.9477,,4,,,,,0.0,,,,,-109.04481574909774,-108.8735592402707,-109.14427656296,-109.04080620837973,-109.04519045102045,0.17125650882704235,0.09946081386226524,0.004009540718001858,0.00037470192270916414,,1521,2582449,19079424,,,0.13535256619906344,,,,,,,,,,,,,,,,50,0.00037470192270916414
,N2_r05,0.9977,,5,,,,,0.0,,,,,-109.11176832607082,-108.92813590885152,-109.21116143237441,-109.10678536948271,-109.11195481577928,0.18363241721930024,0.09939310630359444,0.004982956588108323,0.0001864897084686845,,2025,2792241,19079424,,,0.14634828598599203,,,,,,,,,,,,,,,,50,0.0001864897084686845
,N2_r06,1.0477,,6,,,,,0.0,,,,,-109.15584236604772,-108.95218477431368,-109.24845339623648,-109.14987221484503,-109.15613401879116,0.20365759173404285,0.09261103018876327,0.005970151202689067,0.0002916527434422278,,1764,3052009,19079424,,,0.15996337205986932,,,,,,,,,,,,,,,,50,0.0002916527434422278
,N2_r07,1.0977,,7,,,,,0.0,,,,,-109.17086587171161,-108.95412801374526,-109.26472513381222,-109.16366494337359,-109.17111086591207,0.2167378579663506,0.09385926210060802,0.00720092833802255,0.0002449942004574268,,2025,3378244,19079424,,,0.17706215868990594,,,,,,,,,,,,,,,,50,0.0002449942004574268
,N2_r08,1.1477,,8,,,,,0.0,,,,,-109.17055317511071,-108.94028929794027,-109.2664460201804,-109.1619708935958,-109.17081477816048,0.23026387717044372,0.09589284506968454,0.008582281514918577,0.00026160304976485804,,1936,3348900,19079424,,,0.17552416676729862,,,,,,,,,,,,,,,,50,0.00026160304976485804
,N2_r09,1.1977,,9,,,,,0.0,,,,,-109.15965677322045,-108.91540083639339,-109.25848503759528,-109.14953056393065,-109.16000643288092,0.24425593682705937,0.09882826437483061,0.01012620928979402,0.00034965966047195707,,2025,3225616,19079424,,,0.16906254612298569,,,,,,,,,,,,,,,,50,0.00034965966047195707
,N2_r10,1.2477,,10,,,,,0.0,,,,,-109.14182432183452,-108.88299196796214,-109.24449547658526,-109.12989154943352,-109.14224843268883,0.25883235387237846,0.10267115475073751,0.011932772400996328,0.00042411085431126594,,2500,3154176,19079424,,,0.16531819828523125,,,,,,,,,,,,,,,,50,0.00042411085431126594
